Name, a (au), e, i (deg), O (deg), w (deg), d0 (au), k (Re/yr), phi0 (deg), epsilon (au), eta, MEI
2023 BU2, 2.267, 0.706, 8.494, 117.596, 277.298, 0.012927, -3.3227, 283.1, 0.004233, 0.2578, 0.5
2023 BV2, 1.934, 0.489, 2.672, 10.629, 70.555, 0.040786, 0.2424, 72.9, 0.000658, 0.0158, 5.3
2023 BW2, 1.557, 0.345, 0.444, 228.034, 231.989, 0.036284, 0.0507, 350.2, 0.000569, 0.0156, 5.1
2023 BX2, 1.996, 0.451, 6.922, 141.968, 354.072, 0.108639, 0.0789, 356.4, 0.003885, 0.0357, 7.4
2023 BY2, 1.960, 0.648, 4.985, 121.501, 282.870, 0.001000, -1.2223, 279.1, 0.000845, 0.1523, 0.4
2023 BZ2, 1.693, 0.404, 22.206, 117.818, 39.860, 0.087012, 0.2677, 27.1, 0.000945, 0.0107, 6.3
2023 BA3, 1.381, 0.347, 5.821, 131.599, 47.860, 0.000342, -0.4234, 245.0, 0.000288, 0.1569, 0.3
2023 BS3, 2.403, 0.489, 13.400, 312.710, 235.036, 0.305063, 0.5880, --, 0.015155, 0.0489, 8.6
2023 BT3, 1.512, 0.409, 5.515, 306.851, 227.511, 0.000630, 0.4894, 291.7, 0.000339, 0.1292, 0.3
2023 BY3, 2.544, 0.571, 30.394, 122.063, 0.402, 0.129929, 0.7464, 0.7, 0.038782, 0.3160, 6.7
2023 BZ3, 1.972, 0.501, 0.771, 132.751, 356.405, 0.000669, 0.1096, --, 0.002352, 0.9747, 0.3
2023 BA4, 0.750, 0.377, 7.295, 131.751, 184.729, 0.034566, -0.5847, 303.3, 0.000348, 0.0108, 5.3
2023 BB4, 2.558, 0.596, 19.688, 94.038, 100.947, 0.233733, -3.0053, --, 0.026581, 0.1211, 7.7
2023 BC4, 2.702, 0.632, 14.099, 128.654, 0.366, -0.015543, 6.6471, --, 0.047372, 0.9061, 0.7
2023 BD4, 2.208, 0.431, 9.271, 133.881, 17.127, 0.276432, 0.2815, 10.7, 0.004402, 0.0159, 8.4
2023 BE4, 1.010, 0.399, 15.026, 301.350, 61.263, 0.033293, -0.4309, 60.8, 0.000378, 0.0120, 5.3
2023 BF4, 1.858, 0.447, 33.289, 124.283, 12.019, 0.048748, -0.3537, 7.2, 0.001284, 0.0272, 5.3
2023 BG4, 1.794, 0.448, 13.135, 131.403, 31.112, 0.043947, 0.4533, 34.0, 0.002885, 0.0638, 5.4
2023 BH4, 1.396, 0.156, 17.840, 279.913, 223.907, 0.230444, 0.1802, 342.4, 0.000302, 0.0013, 8.2
2023 BJ4, 2.322, 0.529, 4.078, 79.768, 62.844, 0.120934, 1.2171, 33.2, 0.008832, 0.0698, 7.5
2023 BK4, 1.930, 0.482, 9.541, 129.277, 353.161, 0.016555, 0.0178, --, 0.002187, 0.1313, 4.3
2023 BL4, 2.062, 0.513, 6.933, 127.766, 11.478, 0.024265, 3.8906, 22.9, 0.004436, 0.1036, 4.6
2023 BM4, 0.978, 0.206, 1.541, 187.790, 173.398, 0.040505, -7.4756, --, 0.028430, 1.1158, 4.2
2023 BN4, 2.342, 0.613, 8.231, 310.297, 134.384, 0.018153, -1.6082, --, 0.006673, 0.5145, 2.5
2023 BY4, 1.882, 0.536, 3.140, 292.476, 244.125, 0.015470, 0.7127, 279.1, 0.000525, 0.0285, 4.4
2023 BZ4, 1.192, 0.277, 2.122, 198.107, 207.366, 0.025906, -0.6355, 98.4, 0.000394, 0.0171, 4.4
2023 BA5, 3.406, 0.650, 3.671, 107.453, 18.806, 0.365624, -13.6876, --, 0.252006, 0.9580, 6.9
2023 BB5, 2.370, 0.573, 0.391, 8.127, 157.652, 0.023268, 1.6583, 6.7, 0.018363, 0.5313, 4.6
2023 BC5, 1.700, 0.470, 22.585, 108.500, 296.511, 0.082691, -0.7093, 318.1, 0.000751, 0.0094, 6.4
2023 BD5, 1.544, 0.195, 15.979, 143.723, 323.917, 0.282619, -0.1439, 344.1, 0.000436, 0.0015, 8.2
2023 BE5, 2.390, 0.476, 19.580, 163.993, 330.510, 0.288893, 1.1352, 341.2, 0.012525, 0.0424, 8.6
2023 BF5, 1.253, 0.576, 29.562, 304.081, 69.344, 0.039146, -1.1050, 55.0, 0.000601, 0.0174, 5.4
2023 BG5, 1.623, 0.294, 10.534, 304.717, 176.717, 0.161277, 0.0126, --, 0.000621, 0.0038, 7.1
2023 BH5, 2.361, 0.577, 2.784, 129.723, 3.301, 0.003485, 1.8692, --, 0.012657, 0.8851, 0.6
2023 BJ5, 1.549, 0.379, 0.536, 178.977, 274.912, 0.008187, -0.3498, 271.9, 0.000984, 0.1432, 2.2
2023 BK5, 2.771, 0.635, 3.560, 18.177, 154.571, 0.113105, -4.8303, --, 0.107213, 1.1099, 4.9
2023 BL5, 1.465, 0.310, 13.659, 113.621, 306.275, 0.103568, -0.4477, 321.9, 0.000331, 0.0033, 6.3
2023 BM5, 2.032, 0.609, 7.287, 309.824, 240.291, -0.001363, -2.2087, 107.0, 0.005956, 0.5594, 0.5
2023 BN5, 1.422, 0.319, 7.341, 309.425, 152.146, 0.008383, -0.2921, 38.4, 0.000356, 0.0505, 2.3
2023 BO5, 1.238, 0.166, 2.281, 262.360, 213.398, 0.053391, 0.1177, 338.2, 0.000350, 0.0065, 6.1
2023 BP5, 1.193, 0.241, 2.901, 120.275, 67.779, 0.011242, 0.3933, 75.4, 0.000477, 0.0371, 3.3
2023 BQ5, 1.887, 0.488, 3.929, 116.475, 345.955, 0.004876, 0.3250, 126.0, 0.001029, 0.1624, 2.3
2023 BR5, 0.896, 0.221, 10.689, 308.923, 318.076, 0.023779, 0.4658, 311.7, 0.001463, 0.0576, 4.3
2023 BS5, 0.886, 0.145, 11.725, 307.306, 19.519, 0.018229, -0.0806, 15.1, 0.001338, 0.0734, 4.3
2023 BT5, 1.887, 0.676, 10.395, 58.365, 319.521, 0.123682, 1.3994, 109.1, 0.000748, 0.0058, 7.5
2023 BU5, 1.094, 0.159, 36.905, 121.990, 98.035, 0.026239, 0.1327, 15.1, 0.000878, 0.0328, 5.2
2023 BV5, 1.328, 0.247, 1.035, 117.852, 4.955, 0.015159, 0.0105, 7.1, 0.000769, 0.0505, 4.2
2023 BW5, 1.333, 0.406, 2.252, 129.836, 285.722, 0.001894, -0.2466, 276.6, 0.000383, 0.3496, 0.2
2023 BX5, 2.216, 0.579, 5.751, 305.879, 148.834, -0.000999, -0.8074, 62.5, 0.002545, 0.5194, 0.4
2023 BY5, 1.277, 0.433, 3.413, 149.055, 252.022, 0.015364, -0.5960, 98.8, 0.000718, 0.0560, 3.3
2023 BA6, 2.470, 0.616, 1.322, 177.969, 250.559, -0.000745, 12.4695, --, 0.020080, 0.3644, 4.7
2023 BB6, 1.372, 0.247, 13.395, 307.629, 121.917, 0.123806, -0.3522, 35.3, 0.000276, 0.0023, 7.3
2023 BC6, 1.923, 0.552, 2.587, 306.243, 106.695, 0.017722, -0.6438, 83.4, 0.000624, 0.0411, 3.4
2023 BD6, 1.214, 0.161, 3.601, 105.399, 57.735, 0.055503, 0.3097, --, 0.000968, 0.0170, 6.3
2023 BE6, 1.646, 0.397, 8.057, 126.090, 344.426, 0.016404, -0.1496, 336.9, 0.000772, 0.0494, 4.2
2023 BF6, 1.600, 0.409, 15.650, 310.040, 135.688, 0.036802, -0.4068, 36.9, 0.000553, 0.0159, 5.3
2023 BG6, 1.358, 0.253, 5.569, 127.333, 355.923, 0.029482, 0.0077, --, 0.000337, 0.0114, 5.0
2023 BH6, 1.391, 0.376, 5.978, 125.102, 64.668, 0.014777, 0.4655, 69.8, 0.000327, 0.0193, 4.3
2023 BJ6, 2.004, 0.500, 5.315, 334.622, 219.105, 0.042926, 0.5965, 304.0, 0.003312, 0.0729, 5.4
2023 BK6, 1.484, 0.178, 14.992, 129.871, 355.719, 0.234863, 0.0183, 359.0, 0.000331, 0.0014, 8.1
2023 BN6, 1.062, 0.138, 11.815, 134.095, 68.750, 0.005364, 0.2779, 32.7, 0.000676, 0.1070, 2.3
2023 BO6, 1.818, 0.451, 9.297, 114.419, 60.214, 0.098661, 0.7833, 56.0, 0.001469, 0.0144, 6.4
2023 BP6, 0.978, 0.149, 16.767, 131.688, 98.463, 0.006832, -0.1728, 208.6, 0.000581, 0.0974, 2.2
2023 BD7, 1.066, 0.384, 13.520, 136.258, 243.234, 0.052870, -0.3668, 296.7, 0.000934, 0.0180, 6.3
2023 BE7, 1.964, 0.599, 5.016, 124.946, 300.589, 0.004036, 0.9313, 102.4, 0.000801, 0.0976, 2.4
2023 BF7, 1.892, 0.372, 10.649, 152.786, 324.016, 0.225809, -0.0873, 337.7, 0.001387, 0.0062, 8.3
2023 BG7, 1.057, 0.501, 18.164, 127.583, 247.124, 0.001145, 0.6347, 118.8, 0.000202, 0.0529, 0.4
2023 BH7, 1.100, 0.248, 4.578, 316.007, 89.577, 0.005438, 0.3393, 71.5, 0.000925, 0.1295, 2.3
2023 BJ7, 0.781, 0.331, 4.997, 310.030, 333.005, 0.000482, 0.6043, 291.3, 0.000212, 0.0711, 0.3
2023 BK7, 1.522, 0.662, 4.952, 72.726, 312.024, 0.041465, 0.5040, 273.4, 0.000182, 0.0042, 5.3
2023 BL7, 1.191, 0.153, 16.441, 332.265, 224.671, 0.056855, 0.2785, 339.2, 0.000244, 0.0042, 6.2
2023 BM7, 1.644, 0.298, 7.903, 354.225, 122.198, 0.204462, -0.1576, 32.5, 0.000597, 0.0029, 8.2
2023 BO7, 1.311, 0.242, 5.617, 325.167, 187.308, 0.006116, 0.2681, --, 0.000812, 0.1142, 2.2
2023 BQ7, 1.171, 0.191, 2.248, 327.300, 114.736, 0.016330, -0.5003, 72.2, 0.000728, 0.0527, 3.3
2023 BR7, 1.056, 0.284, 3.098, 112.697, 274.741, 0.004711, -0.3297, 100.7, 0.000692, 0.2322, 0.3
2023 BS7, 2.362, 0.528, 10.918, 342.122, 166.718, 0.132253, 0.3888, 10.4, 0.012866, 0.0950, 7.6
2023 BT7, 0.951, 0.321, 18.521, 293.650, 67.218, 0.006790, 0.3640, 226.2, 0.000626, 0.0752, 3.3
2023 BU7, 1.039, 0.055, 0.915, 329.041, 178.722, 0.000038, -1.5211, --, 0.018587, 1.2137, 0.5
2023 BV7, 1.341, 0.232, 8.306, 143.201, 328.400, 0.063087, -0.2187, 335.0, 0.000312, 0.0050, 6.2
2023 BW7, 1.610, 0.393, 17.855, 137.796, 317.656, 0.058272, -0.3415, 328.9, 0.000546, 0.0096, 6.3
